Year, SeaLevel
1881,-159.6807292
1882,-189.4807292
1883,-204.3807292
1884,-166.6140625
1885,-173.3473958
1886,-171.1140625
1887,-184.1807292
1888,-175.8807292
1889,-171.0807292
1890,-176.5473958
1891,-186.4807292
1892,-167.5473958
1893,-170.8140625
1894,-170.0807292
1895,-161.1140625
1896,-171.4473958
1897,-173.3807292
1898,-169.2473958
1899,-150.5807292
1900,-150.3140625
1901,-155.4473958
1902,-145.5807292
1903,-144.8140625
1904,-144.7807292
1905,-160.5473958
1906,-154.9473958
1907,-151.1473958
1908,-154.4807292
1909,-152.3140625
1910,-150.8473958
1911,-149.1473958
1912,-142.9473958
1913,-142.0473958
1914,-137.5473958
1915,-108.7473958
1916,-129.5807292
1917,-127.7807292
1918,-134.4140625
1919,-141.0473958
1920,-138.3140625
1921,-131.9140625
1922,-131.9473958
1923,-128.5807292
1924,-138.7140625
1925,-135.6140625
1926,-133.2140625
1927,-133.5473958
1928,-138.5140625
1929,-141.3473958
1930,-134.6473958
1931,-130.8473958
1932,-126.7140625
1933,-117.5473958
1934,-123.8473958
1935,-119.3473958
1936,-120.5140625
1937,-119.7140625
1938,-110.9140625
1939,-114.5807292
1940,-111.9140625
1941,-106.0140625
1942,-107.2473958
1943,-97.88072917
1944,-105.2473958
1945,-107.6473958
1946,-103.5473958
1947,-104.2807292
1948,-87.34739583
1949,-87.3140625
1950,-92.28072917
1951,-82.0140625
1952,-85.08072917
1953,-76.84739583
1954,-82.18072917
1955,-72.38072917
1956,-82.38072917
1957,-83.0140625
1958,-72.24739583
1959,-68.7140625
1960,-70.38072917
1961,-60.24739583
1962,-66.68072917
1963,-63.88072917
1964,-77.94739583
1965,-66.18072917
1966,-64.28072917
1967,-72.9140625
1968,-63.48072917
1969,-59.7140625
1970,-61.5140625
1971,-57.48072917
1972,-56.5140625
1973,-54.68072917
1974,-40.18072917
1975,-43.94739583
1976,-46.68072917
1977,-44.24739583
1978,-38.24739583
1979,-49.6140625
1980,-37.68072917
1981,-31.08072917
1982,-30.2140625
1983,-23.54739583
1984,-30.48072917
1985,-31.68072917
1986,-33.8140625
1987,-33.84739583
1988,-31.4140625
1989,-31.84739583
1990,-25.24739583
1991,-20.34739583
1992,-16.38072917
1993,-19.58072917
1994,-22.34739583
1995,-16.34739583
1996,-7.247395833
1997,-6.480729167
1998,-1.847395833
1999,-8.480729167
2000,-8.347395833
2001,-0.8140625
2002,-2.780729167
2003,4.3859375
2004,8.252604167
2005,10.61927083
2006,6.652604167
2007,4.3859375
2008,17.55260417
2009,19.31927083
2010,38.77693523
2011,37.34794901
2012,34.20024888
2013,44.80457051
2014,41.26864169
2015,53.2645778
2016,58.72328655
2017,54.96168128
2018,49.37085909
2019,56.6074862
2020,68.81162977
