Year,SeaLevel
1881,44.7
1882,14.9
1883,0.0
1884,37.7667
1885,31.0333
1886,33.2667
1887,20.2
1888,28.5
1889,33.3
1890,27.8333
1891,17.9
1892,36.8333
1893,33.5667
1894,34.3
1895,43.2667
1896,32.9333
1897,31.0
1898,35.1333
1899,53.8
1900,54.0667
1901,48.9333
1902,58.8
1903,59.5667
1904,59.6
1905,43.8333
1906,49.4333
1907,53.2333
1908,49.9
1909,52.0667
1910,53.5333
1911,55.2333
1912,61.4333
1913,62.3333
1914,66.8333
1915,95.6333
1916,74.8
1917,76.6
1918,69.9667
1919,63.3333
1920,66.0667
1921,72.4667
1922,72.4333
1923,75.8
1924,65.6667
1925,68.7667
1926,71.1667
1927,70.8333
1928,65.8667
1929,63.0333
1930,69.7333
1931,73.5333
1932,77.6667
1933,86.8333
1934,80.5333
1935,85.0333
1936,83.8667
1937,84.6667
1938,93.4667
1939,89.8
1940,92.4667
1941,98.3667
1942,97.1333
1943,106.5
1944,99.1333
1945,96.7333
1946,100.8333
1947,100.1
1948,117.0333
1949,117.0667
1950,112.1
1951,122.3667
1952,119.3
1953,127.5333
1954,122.2
1955,132.0
1956,122.0
1957,121.3667
1958,132.1333
1959,135.6667
1960,134.0
1961,144.1333
1962,137.7
1963,140.5
1964,126.4333
1965,138.2
1966,140.1
1967,131.4667
1968,140.9
1969,144.6667
1970,142.8667
1971,146.9
1972,147.8667
1973,149.7
1974,164.2
1975,160.4333
1976,157.7
1977,160.1333
1978,166.1333
1979,154.7667
1980,166.7
1981,173.3
1982,174.1667
1983,180.8333
1984,173.9
1985,172.7
1986,170.5667
1987,170.5333
1988,172.9667
1989,172.5333
1990,179.1333
1991,184.0333
1992,188.0
1993,184.8
1994,182.0333
1995,188.0333
1996,197.1333
1997,197.9
1998,202.5333
1999,195.9
2000,196.0333
2001,203.5667
2002,201.6
2003,208.7667
2004,212.6333
2005,215.0
2006,211.0333
2007,208.7667
2008,221.9333
2009,223.7
2010,243.1577
2011,241.7287
2012,238.581
2013,249.1853
2014,245.6494
2015,257.6453
2016,263.104
2017,259.3424
2018,253.7516
2019,260.9882
2020,273.1924
