ID,Year,AvgTemp,AvgRain
108,1906,9.3,742
109,1907,8.7,680
110,1908,8.6,659
111,1909,8.4,850
112,1910,9.5,836
113,1911,9.9,656
114,1912,9.3,1051
115,1913,9.7,736
116,1914,9.7,804
117,1915,8.8,914
118,1916,9.3,917
119,1917,8.4,803
120,1918,9.3,907
121,1919,8.1,759
122,1920,9.3,656
123,1921,9.9,407
124,1922,8.3,665
125,1923,8.7,861
126,1924,8.6,796
127,1925,9.2,921
128,1926,9.7,728
129,1927,8.9,895
130,1928,9.3,834
131,1929,8.3,645
132,1930,9.7,931
133,1931,8.8,789
134,1932,9.4,760
135,1933,9,522
136,1934,10.2,728
137,1935,9.7,939
138,1936,9.5,766
139,1937,9.5,745
140,1938,9.7,801
141,1939,9.6,859
142,1940,8.1,840
143,1941,8.7,762
144,1942,8.3,800
145,1943,9.6,686
146,1944,9.5,828
147,1945,10,824
148,1946,9.1,818
149,1947,9.5,751
150,1948,9.9,738
151,1949,10,667
152,1950,9.4,951
153,1951,9.8,810
154,1952,9,792
155,1953,9.9,607
156,1954,9.1,818
157,1955,9,660
158,1956,8.2,752
159,1957,9.7,924
160,1958,9.2,829
161,1959,9.9,539
162,1960,9.6,928
163,1961,9.8,912
164,1962,8.1,765
165,1963,7.8,777
166,1964,8.9,748
167,1965,8.5,1160
168,1966,9.4,1143
169,1967,9.9,856
170,1968,9.1,863
171,1969,9.5,748
172,1970,9.1,909
173,1971,9.5,562
174,1972,8.8,656
175,1973,9.3,780
176,1974,9.7,993
177,1975,9.8,628
178,1976,10,542
179,1977,9.8,813
180,1978,9,645
181,1979,8.5,873
182,1980,9.3,863
183,1981,9.2,992
184,1982,10.1,635
185,1983,10.1,891
186,1984,9.5,890
187,1985,8.5,727
188,1986,9,834
189,1987,8.9,976
190,1988,10.3,933
191,1989,10.7,718
192,1990,10.9,764
193,1991,9.5,716
194,1992,10.5,957
195,1993,9.6,929
196,1994,10.6,1036
197,1995,10.4,798
198,1996,8.6,614
199,1997,10.3,786
200,1998,10.4,1307
201,1999,10.9,977
202,2000,10.9,975
203,2001,10.4,1091
204,2002,10.8,988
205,2003,10.3,648
206,2004,10.3,910
207,2005,10.7,873
208,2006,11.2,867
209,2007,11.2,1033
210,2008,10.6,943
211,2009,10.5,833
212,2010,9.1,901
213,2011,10.9,962
214,2012,10.3,973
215,2013,9.8,934
216,2014,11.7,952
